id_perfil,nombre_perfil,score_medio,score_maximo,score_minimo_top10,diversidad_fuentes,diversidad_secciones,total_recomendaciones
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,0.094836,0.147837,0.070767,2,4,10
perfil_002_ceo_scaling_internacional,CEO de startup en fase de escalado internacional,0.1030222,0.230606,0.06667,2,6,10
perfil_003_consultor_silver,Consultor senior Silver en transición,0.0820563,0.113544,0.068432,2,5,10
perfil_004_mentor_negocios_tradicionales,Mentor de negocios tradicionales,0.0676439,0.091941,0.058869,2,5,10
perfil_005_emprendedora_rural_agroalimentaria,Emprendedora rural en el sector agroalimentario,0.1167757,0.282572,0.058063,2,4,10
perfil_006_fundador_cooperativa_impacto,Fundador de cooperativa de impacto social,0.0931965,0.189503,0.064754,2,7,10
perfil_007_estudiante_presemilla,Estudiante universitario en fase pre-semilla,0.110303,0.163419,0.083402,2,4,10
perfil_008_autoempleo_necesidad,Emprendedor por necesidad en fase de autoempleo,0.053940600000000005,0.071424,0.045182,2,5,10
